Overall compaction pattern frequencies
====================================

L0->L1: count=180, avg wall=52.1 ms, avg cpu=82.3 ms, avg input=34.3 MiB, avg output=34.2 MiB

Most frequent per-run pattern slices
================================

sst=8MB input=32MB value=32B sub=1 L0->L1: count=5, avg wall=181.6 ms, avg input=37.9 MiB, avg actual subcomp=1.0
sst=8MB input=32MB value=32B sub=2 L0->L1: count=5, avg wall=103.0 ms, avg input=37.9 MiB, avg actual subcomp=2.0
sst=8MB input=32MB value=32B sub=4 L0->L1: count=5, avg wall=62.1 ms, avg input=37.9 MiB, avg actual subcomp=4.0
sst=8MB input=32MB value=32B sub=8 L0->L1: count=5, avg wall=59.5 ms, avg input=37.9 MiB, avg actual subcomp=5.0
sst=8MB input=32MB value=32B sub=16 L0->L1: count=5, avg wall=65.0 ms, avg input=37.9 MiB, avg actual subcomp=5.0
sst=8MB input=32MB value=32B sub=32 L0->L1: count=5, avg wall=60.6 ms, avg input=37.9 MiB, avg actual subcomp=5.0
sst=8MB input=32MB value=64B sub=1 L0->L1: count=5, avg wall=121.8 ms, avg input=35.5 MiB, avg actual subcomp=1.0
sst=8MB input=32MB value=64B sub=2 L0->L1: count=5, avg wall=70.0 ms, avg input=35.5 MiB, avg actual subcomp=2.0
sst=8MB input=32MB value=64B sub=4 L0->L1: count=5, avg wall=45.8 ms, avg input=35.5 MiB, avg actual subcomp=4.0
sst=8MB input=32MB value=64B sub=8 L0->L1: count=5, avg wall=59.8 ms, avg input=35.5 MiB, avg actual subcomp=5.0
sst=8MB input=32MB value=64B sub=16 L0->L1: count=5, avg wall=53.5 ms, avg input=35.5 MiB, avg actual subcomp=5.0
sst=8MB input=32MB value=64B sub=32 L0->L1: count=5, avg wall=58.2 ms, avg input=35.5 MiB, avg actual subcomp=5.0
sst=8MB input=32MB value=128B sub=1 L0->L1: count=5, avg wall=90.2 ms, avg input=34.2 MiB, avg actual subcomp=1.0
sst=8MB input=32MB value=128B sub=2 L0->L1: count=5, avg wall=52.3 ms, avg input=34.2 MiB, avg actual subcomp=2.0
sst=8MB input=32MB value=128B sub=4 L0->L1: count=5, avg wall=36.1 ms, avg input=34.2 MiB, avg actual subcomp=4.0
sst=8MB input=32MB value=128B sub=8 L0->L1: count=5, avg wall=40.2 ms, avg input=34.2 MiB, avg actual subcomp=5.0
sst=8MB input=32MB value=128B sub=16 L0->L1: count=5, avg wall=39.3 ms, avg input=34.2 MiB, avg actual subcomp=5.0
sst=8MB input=32MB value=128B sub=32 L0->L1: count=5, avg wall=40.2 ms, avg input=34.2 MiB, avg actual subcomp=5.0
sst=8MB input=32MB value=256B sub=1 L0->L1: count=5, avg wall=67.4 ms, avg input=33.2 MiB, avg actual subcomp=1.0
sst=8MB input=32MB value=256B sub=2 L0->L1: count=5, avg wall=42.7 ms, avg input=33.2 MiB, avg actual subcomp=2.0
sst=8MB input=32MB value=256B sub=4 L0->L1: count=5, avg wall=27.7 ms, avg input=33.2 MiB, avg actual subcomp=4.0
sst=8MB input=32MB value=256B sub=8 L0->L1: count=5, avg wall=32.5 ms, avg input=33.2 MiB, avg actual subcomp=5.0
sst=8MB input=32MB value=256B sub=16 L0->L1: count=5, avg wall=29.7 ms, avg input=33.2 MiB, avg actual subcomp=5.0
sst=8MB input=32MB value=256B sub=32 L0->L1: count=5, avg wall=35.8 ms, avg input=33.2 MiB, avg actual subcomp=5.0
sst=8MB input=32MB value=512B sub=1 L0->L1: count=5, avg wall=56.8 ms, avg input=32.6 MiB, avg actual subcomp=1.0
